month,spend,cpl_eff,leads,demos,demo_cap,closer_capped,new_ads,warm,referrals,new,entry,upsold,active,case_studies,penetration,mrr,collections,tools,team,cash_flow,cac_ads,cac,payback,team_size,has_va,has_media,n_am,churn,close,metros,p_entry,p_full,premium_on,cum_cash
11,6000.0,65.3270150794243,91.84561689685694,25.790249224637428,132,False,7.672599144329634,0.0,4.733452294345819,12.406051438675453,67.94852893475155,36.28649701423277,104.23502594898432,44.67286960883093,0.3155634862897212,123534.3907295292,123534.3907295292,3527.0507784695296,17500.0,96507.33995105966,782.0035801602181,483.6349445799652,0.6717152008055072,5,True,True,3,0.03,0.2975,1,750,2000,True,451248.7942980204
12,0.0,73.85607371160826,0.0,0.0,132,False,0.0,0.0,3.892024829485214,3.892024829485214,64.91665262625018,40.08334737374983,105.00000000000001,50.10114213099097,0.3474500864966144,128854.18421718728,128854.18421718728,3550.0000000000005,17500.0,107804.18421718728,nan,0.0,0.0,5,True,True,3,0.03,0.2975,1,750,2000,True,559052.9785152078
13,0.0,66.2405303030303,0.0,0.0,132,False,0.0,0.0,3.1500000000000004,3.1500000000000004,60.866368838070294,44.13363116192971,105.0,55.93756903031584,0.35000000000000003,133917.03895241214,133917.03895241214,3550.0,17500.0,112867.03895241214,nan,0.0,0.0,5,True,True,3,0.03,0.2975,1,750,2000,True,671920.0174676199
14,0.0,70.21496212121212,0.0,0.0,132,False,0.0,0.0,3.15,3.15,60.542475,44.457525,105.0,57.76857211134716,0.35,134321.90625,134321.90625,3550.0,17500.0,113271.90625,nan,0.0,0.0,5,True,True,3,0.03,0.2975,1,750,2000,True,785191.9237176199
15,0.0,74.18939393939394,0.0,0.0,132,False,0.0,0.0,3.15,3.15,60.54247500000001,44.457525000000004,105.00000000000001,59.25048961134716,0.35,134321.90625,134321.90625,3550.0000000000005,17500.0,113271.90625,nan,0.0,0.0,5,True,True,3,0.03,0.2975,1,750,2000,True,898463.8299676199
16,0.0,66.2405303030303,0.0,0.0,132,False,0.0,0.0,3.1500000000000004,3.1500000000000004,60.542475,44.457525,105.0,60.732407111347165,0.35000000000000003,134321.90625,134321.90625,3550.0,17500.0,113271.90625,nan,0.0,0.0,5,True,True,3,0.03,0.2975,1,750,2000,True,1011735.7362176199
17,0.0,70.21496212121212,0.0,0.0,132,False,0.0,0.0,3.15,3.15,60.542474999999996,44.457525000000004,105.0,62.214324611347166,0.35,134321.90625,134321.90625,3550.0,17500.0,113271.90625,nan,0.0,0.0,5,True,True,3,0.03,0.2975,1,750,2000,True,1125007.6424676199
18,0.0,74.18939393939394,0.0,0.0,132,False,0.0,0.0,3.15,3.15,60.542474999999996,44.457525,105.0,63.69624211134717,0.35,134321.90625,134321.90625,3550.0,17500.0,113271.90625,nan,0.0,0.0,5,True,True,3,0.03,0.2975,1,750,2000,True,1238279.5487176199
19,0.0,66.2405303030303,0.0,0.0,132,False,0.0,0.0,3.15,3.15,60.542475,44.457525,105.0,65.17815961134717,0.35,134321.90625,134321.90625,3550.0,17500.0,113271.90625,nan,0.0,0.0,5,True,True,3,0.03,0.2975,1,750,2000,True,1351551.4549676199
20,0.0,70.21496212121212,0.0,0.0,132,False,0.0,0.0,3.15,3.15,60.54247499999999,44.457525,104.99999999999999,66.66007711134716,0.35,134321.90624999997,134321.90624999997,3549.9999999999995,17500.0,113271.90624999997,nan,0.0,0.0,5,True,True,3,0.03,0.2975,1,750,2000,True,1464823.3612176199
21,0.0,74.18939393939394,0.0,0.0,132,False,0.0,0.0,3.1500000000000137,3.1500000000000137,60.542475,44.45752499999999,105.0,68.14199461134716,0.35,134321.90624999997,134321.90624999997,3550.0,17500.0,113271.90624999997,nan,0.0,0.0,5,True,True,3,0.03,0.2975,1,750,2000,True,1578095.2674676199
22,0.0,66.2405303030303,0.0,0.0,132,False,0.0,0.0,3.15,3.15,60.542475,44.45752499999999,105.0,69.62391211134715,0.35,134321.90624999997,134321.90624999997,3550.0,17500.0,113271.90624999997,nan,0.0,0.0,5,True,True,3,0.03,0.2975,1,750,2000,True,1691367.1737176199
23,0.0,70.21496212121212,0.0,0.0,132,False,0.0,0.0,3.15,3.15,60.54247499999999,44.457525,104.99999999999999,71.10582961134716,0.35,134321.90624999997,134321.90624999997,3549.9999999999995,17500.0,113271.90624999997,nan,0.0,0.0,5,True,True,3,0.03,0.2975,1,750,2000,True,1804639.0799676199
24,0.0,74.18939393939394,0.0,0.0,132,False,0.0,0.0,3.1500000000000137,3.1500000000000137,60.54247500000001,44.457525000000004,105.00000000000001,72.58774711134716,0.35,134321.90625,134321.90625,3550.0000000000005,17500.0,113271.90625,nan,0.0,0.0,5,True,True,3,0.03,0.2975,1,750,2000,True,1917910.9862176199
