month,spend,cpl_eff,leads,demos,demo_cap,closer_capped,new_ads,warm,referrals,new,entry,upsold,active,case_studies,penetration,mrr,collections,tools,team,cash_flow,cac_ads,cac,payback,team_size,has_va,has_media,n_am,churn,close,metros,p_entry,p_full,premium_on,cum_cash
11,9000.0,69.20005353617182,130.05770284983342,30.381479385721086,132,False,10.633517785002379,0.0,3.6721671595372745,14.305684944539653,70.11695933233693,33.23877923098162,103.35573856331855,40.64791060757055,0.3060139299614395,84916.6485126409,84916.6485126409,3500.6721568995567,17500.0,54915.97635574134,846.3803025461331,629.1205234066906,1.3385543051206183,5,True,True,3,0.03,0.35,1,500,1500,False,253984.57730340993
12,593.2954400974368,79.42936533514676,7.469472248633329,1.7448687172807453,132,False,0.6107040510482609,0.0,4.134229542532742,4.744933593581003,66.129651595403,38.87034840459698,104.99999999999999,48.01316899706479,0.3445191285443952,91370.34840459697,91370.34840459697,3549.9999999999995,17500.0,69727.05296449953,971.4941944122647,125.03766984221934,0.2660375954089773,5,True,True,3,0.03,0.35,1,500,1500,False,323711.63026790944
13,0.0,71.67008196721311,0.0,0.0,132,False,0.0,0.0,3.1500000000000132,3.1500000000000132,61.23866351359812,43.761336486401895,105.00000000000001,54.74327847922347,0.35,96261.3364864019,96261.3364864019,3550.0000000000005,17500.0,75211.3364864019,nan,0.0,0.0,5,True,True,3,0.03,0.35,1,500,1500,False,398922.96675431135
14,0.0,75.9702868852459,0.0,0.0,132,False,0.0,0.0,3.1500000000000004,3.1500000000000004,60.542475,44.45752499999999,105.0,56.97553248832365,0.35000000000000003,96957.525,96957.525,3550.0,17500.0,75907.525,nan,0.0,0.0,5,True,True,3,0.03,0.35,1,500,1500,False,474830.49175431137
15,0.0,80.27049180327869,0.0,0.0,132,False,0.0,0.0,3.1500000000000004,3.1500000000000004,60.542475,44.457525000000004,105.0,58.45744998832366,0.35,96957.52500000001,96957.52500000001,3550.0,17500.0,75907.52500000001,nan,0.0,0.0,5,True,True,3,0.03,0.35,1,500,1500,False,550738.0167543114
16,0.0,71.67008196721311,0.0,0.0,132,False,0.0,0.0,3.1500000000000004,3.1500000000000004,60.542474999999996,44.457525000000004,105.0,59.93936748832366,0.35,96957.52500000001,96957.52500000001,3550.0,17500.0,75907.52500000001,nan,0.0,0.0,5,True,True,3,0.03,0.35,1,500,1500,False,626645.5417543114
17,0.0,75.9702868852459,0.0,0.0,132,False,0.0,0.0,3.1500000000000004,3.1500000000000004,60.54247500000001,44.45752499999999,105.0,61.42128498832366,0.35,96957.525,96957.525,3550.0,17500.0,75907.525,nan,0.0,0.0,5,True,True,3,0.03,0.35,1,500,1500,False,702553.0667543114
18,0.0,80.27049180327869,0.0,0.0,132,False,0.0,0.0,3.1500000000000004,3.1500000000000004,60.542474999999996,44.45752499999998,104.99999999999997,62.903202488323664,0.35,96957.52499999998,96957.52499999998,3549.999999999999,17500.0,75907.52499999998,nan,0.0,0.0,5,True,True,3,0.03,0.35,1,500,1500,False,778460.5917543115
19,0.0,71.67008196721311,0.0,0.0,132,False,0.0,0.0,3.1500000000000274,3.1500000000000274,60.542475000000024,44.45752499999999,105.00000000000001,64.38511998832367,0.3499999999999999,96957.52500000001,96957.52500000001,3550.0000000000005,17500.0,75907.52500000001,nan,0.0,0.0,5,True,True,3,0.03,0.35,1,500,1500,False,854368.1167543115
20,0.0,75.9702868852459,0.0,0.0,132,False,0.0,0.0,3.1500000000000004,3.1500000000000004,60.54247500000002,44.457524999999976,105.0,65.86703748832366,0.35000000000000003,96957.52499999997,96957.52499999997,3550.0,17500.0,75907.52499999997,nan,0.0,0.0,5,True,True,3,0.03,0.35,1,500,1500,False,930275.6417543115
21,0.0,80.27049180327869,0.0,0.0,132,False,0.0,0.0,3.1500000000000004,3.1500000000000004,60.542475,44.457525000000004,105.0,67.34895498832367,0.35,96957.52500000001,96957.52500000001,3550.0,17500.0,75907.52500000001,nan,0.0,0.0,5,True,True,3,0.03,0.35,1,500,1500,False,1006183.1667543115
22,0.0,71.67008196721311,0.0,0.0,132,False,0.0,0.0,3.1500000000000004,3.1500000000000004,60.542474999999996,44.457525000000004,105.0,68.83087248832366,0.35,96957.52500000001,96957.52500000001,3550.0,17500.0,75907.52500000001,nan,0.0,0.0,5,True,True,3,0.03,0.35,1,500,1500,False,1082090.6917543116
23,0.0,75.9702868852459,0.0,0.0,132,False,0.0,0.0,3.1500000000000004,3.1500000000000004,60.542474999999996,44.457525,105.0,70.31278998832366,0.35,96957.525,96957.525,3550.0,17500.0,75907.525,nan,0.0,0.0,5,True,True,3,0.03,0.35,1,500,1500,False,1157998.2167543115
24,0.0,80.27049180327869,0.0,0.0,132,False,0.0,0.0,3.1500000000000004,3.1500000000000004,60.542474999999996,44.45752499999999,104.99999999999999,71.79470748832365,0.35,96957.525,96957.525,3549.9999999999995,17500.0,75907.525,nan,0.0,0.0,5,True,True,3,0.03,0.35,1,500,1500,False,1233905.7417543114
