month,spend,cpl_eff,leads,demos,demo_cap,closer_capped,new_ads,warm,referrals,new,entry,upsold,active,case_studies,penetration,mrr,collections,tools,team,cash_flow,cac_ads,cac,payback,team_size,has_va,has_media,n_am,churn,close,metros,p_entry,p_full,premium_on,cum_cash
11,8000.0,46.34466861132096,172.61963974958232,40.32394784550243,132,False,14.11338174592585,0.0,3.808908134774601,17.92228988070045,77.31306986802825,32.975242280956266,110.28831214898452,40.33923703686517,0.15870450561560837,88119.39835544853,88119.39835544853,3708.6493644695356,17500.0,58910.748990979,566.8379233282897,446.3715325023712,0.9497266648986622,5,True,True,3,0.03,0.35,2,500,1500,False,260089.88980774774
12,8000.0,53.084238292072264,150.70386723802233,35.20442338680202,132,False,12.321548185380706,0.0,4.4115324859593805,16.733080671340087,83.39497473574907,40.31776872010599,123.71274345585506,49.59677448973008,0.18381385358164087,102174.14044803352,102174.14044803352,4111.382303675651,17500.0,72562.75814435787,649.2690593453066,478.0948683108997,1.017223124065744,5,True,True,3,0.03,0.35,2,500,1500,False,332652.6479521056
13,8000.0,50.67153187350093,157.8795766421986,36.88066910361759,132,False,12.908234186266156,0.0,4.948509738234202,17.856743924500357,91.16148227123898,46.69662280544079,137.85810507667978,58.028315764105606,0.20618790575975843,115625.67534378068,115625.67534378068,4535.743152300393,22000.0,81089.93219148029,619.7594407228588,448.01000864573047,0.953212784352618,6,True,True,4,0.03,0.35,2,500,1500,False,413742.5801435859
14,8000.0,57.36963099660435,139.4466002487189,32.57472581810074,132,False,11.401154036335258,0.0,5.514324203067191,16.91547823940245,98.2572460208555,52.380594142926306,150.63784016378182,65.90039356593755,0.22976350846113297,127699.5142248172,127699.5142248172,4919.135204913455,22000.0,92780.37901990375,701.6833536766676,472.9396288285258,1.0062545294223955,6,True,True,4,0.03,0.35,2,500,1500,False,506522.95916348964
15,8000.0,64.10869949830104,124.78805626390862,29.15048994324905,132,False,10.202671480137166,0.0,6.025513606551272,16.228185086688438,103.9770790655652,58.3698109799916,162.3468900455568,74.30109874521874,0.25106306693963637,139543.25600277,139543.25600277,5270.406701366704,26500.0,99772.8493014033,784.1083598128798,492.96948224741374,1.0488712388242845,7,True,True,5,0.03,0.35,2,500,1500,False,606295.8084648929
16,12000.0,46.89482338758079,255.89178363721,59.776320657652256,132,False,20.92171223017829,0.0,6.493875601822272,27.41558783200056,121.11125646164462,63.78081471454604,184.89207117619065,82.25898548294562,0.180385433383952,156226.85030264137,156226.85030264137,5946.7621352857195,26500.0,111780.08816735566,573.5668222551467,437.707193204631,0.9312919004353851,7,True,True,5,0.03,0.35,3,500,1500,False,718075.8966322485
17,12000.0,53.59510724804223,223.90103530277656,52.3032818467286,132,False,18.30614864635501,0.0,7.395682847047627,25.701831493402636,136.3086555545686,68.73848497973897,205.04714053430757,89.89353515697819,0.20543563464021183,171262.05524689273,171262.05524689273,6551.414216029227,31000.0,121710.64103086351,655.5174565562896,466.892797234324,0.9933889302857958,8,True,True,6,0.03,0.35,3,500,1500,False,839786.537663112
18,12000.0,60.30002559823453,199.00489064388287,46.487542454411034,132,False,16.27063985904386,0.0,8.201885621372304,24.472525480416166,145.08402440233948,78.284227396355,223.36825179869447,102.79119845254286,0.22783015614923063,189968.35329570225,189968.35329570225,7101.047553960834,31000.0,139867.3057417414,737.5247749294831,490.34579653836096,1.0432889288050233,8,True,True,6,0.03,0.35,3,500,1500,False,979653.8434048535
19,12000.0,56.81893244189019,211.19720987846136,49.33566822760857,132,False,17.267483879663,0.0,8.93473007194778,26.20221395161078,156.05143365841596,86.81798453792851,242.86941819634447,114.88262507861413,0.24818694644299386,208252.69363610074,208252.69363610074,7686.082545890334,35500.0,153066.6110902104,694.9478038391658,457.9765672534821,0.974418228198898,9,True,True,7,0.03,0.35,3,500,1500,False,1132720.454495064
20,12000.0,63.5899010031429,188.7092102786401,44.082471521090326,132,False,15.428865032381614,0.0,9.71477672785378,25.143641760235393,166.15174275786325,94.57523465282625,260.7269774106895,126.39572469087591,0.2698549091070494,224938.723358171,224938.723358171,8221.809322320685,40000.0,164716.91403585032,777.7629770443114,477.25783378674964,1.015442199546276,10,True,True,8,0.03,0.35,3,500,1500,False,1297437.3685309142
21,12000.0,70.44207238810374,170.35273939536395,39.794399922757016,132,False,13.928039972964955,0.0,10.429079096427582,24.35711906939254,174.4301611463381,102.8321260114232,277.2622871577613,138.7225562444112,0.2896966415674328,241463.26959030385,241463.26959030385,8717.868614732839,40000.0,180745.400975571,861.5713354709363,492.6691028529458,1.0482321337296718,10,True,True,8,0.03,0.35,3,500,1500,False,1478182.7695064852
22,12000.0,65.58390046151465,182.97173415359356,42.742197098279455,132,False,14.959768984397808,0.0,11.090491486310453,26.05026047070826,184.60157314316376,110.393105870573,294.99467901373674,150.55138251051395,0.30806920795306814,257890.44537744136,257890.44537744136,9249.840370412103,44500.0,192140.60500702925,802.1514244314415,460.64798520894567,0.9801020961892462,11,True,True,9,0.03,0.35,3,500,1500,False,1670323.3745135143
23,12000.0,72.57584565355207,165.3442669794463,38.62442076639866,132,False,13.51854726823953,0.0,11.799787160549469,25.318334428789,194.06893437808174,117.39423869403194,311.4631730721137,162.01018917670967,0.3277718655708186,273125.8252300888,273125.8252300888,9743.89519216341,44500.0,206881.93003792537,887.6693450776916,473.96482709996224,1.0084358023403452,11,True,True,9,0.03,0.35,3,500,1500,False,1877205.3045514398
24,411.4732056141846,79.6836380823522,5.163835581765624,1.2062719919004496,132,False,0.4221951971651574,0.0,12.458526922884548,12.880722120049706,190.0977779321887,124.90222206781121,314.9999999999999,174.26553421515436,0.34607019230234853,282402.2220678112,282402.2220678112,9849.999999999996,49000.0,223140.74886219698,974.6041839818029,31.944886457390385,0.06796784352636252,12,True,True,10,0.03,0.35,3,500,1500,False,2100346.053413637
